score	kind	address	off	on	off_hex	on_hex	module	region_type	protect	region_base	region_size	region_file_off	region_file_on
41	float	0x000002899d7b5e24	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002899d73d000	0xd8000	region_1534_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin	region_1527_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin
41	float	0x000002899d7b5e28	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002899d73d000	0xd8000	region_1534_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin	region_1527_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin
41	float	0x000002899d7b5e2c	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002899d73d000	0xd8000	region_1534_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin	region_1527_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin
41	float	0x000002899d7b5fdc	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002899d73d000	0xd8000	region_1534_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin	region_1527_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin
41	float	0x000002899d7b60c4	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002899d73d000	0xd8000	region_1534_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin	region_1527_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin
41	float	0x000002899d7b60d0	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002899d73d000	0xd8000	region_1534_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin	region_1527_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin
41	float	0x000002899d7b6774	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002899d73d000	0xd8000	region_1534_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin	region_1527_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin
41	float	0x000002899d7b6854	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002899d73d000	0xd8000	region_1534_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin	region_1527_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin
41	float	0x000002899d7b71d0	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002899d73d000	0xd8000	region_1534_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin	region_1527_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin
41	float	0x000002899d7b72c8	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002899d73d000	0xd8000	region_1534_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin	region_1527_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin
41	float	0x000002899d7b73b0	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002899d73d000	0xd8000	region_1534_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin	region_1527_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin
41	float	0x000002899d7b7ff4	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002899d73d000	0xd8000	region_1534_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin	region_1527_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin
