score	kind	address	off	on	off_hex	on_hex	module	region_type	protect
28	u32	0x00000289ffadf588	0	3	0x00000000	0x00000003		PRIVATE	READWRITE
28	u32	0x00000289ffadf5b0	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffadf610	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffadf668	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffadf728	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffadf7e0	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffadf8f0	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffadf948	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffadf9b0	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffadfa98	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffadfbb8	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffadfc68	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffadfcc0	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffadfdc8	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289ffadfdf0	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffadfe70	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffadff00	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffae0030	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffbc07b8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbc08a0	1	0	0x00000001	0x00000000		PRIVATE	READWRITE
28	u32	0x00000289ffbc08e8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbc08ec	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbc0968	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbc0b4c	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffbd59d4	1	0	0x00000001	0x00000000		PRIVATE	READWRITE
28	u32	0x00000289ffbd59f8	0	3	0x00000000	0x00000003		PRIVATE	READWRITE
28	u32	0x00000289ffbd5d10	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffbd5d84	1	0	0x00000001	0x00000000		PRIVATE	READWRITE
28	u32	0x00000289ffbd5dd0	0	10	0x00000000	0x0000000a		PRIVATE	READWRITE
28	u32	0x00000289ffbd5f68	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289ffbd5fc8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd6134	1	0	0x00000001	0x00000000		PRIVATE	READWRITE
28	u32	0x00000289ffbd6280	0	4	0x00000000	0x00000004		PRIVATE	READWRITE
28	u32	0x00000289ffbd64e4	1	0	0x00000001	0x00000000		PRIVATE	READWRITE
28	u32	0x00000289ffbd65d8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd66a8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd66f0	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffbd6778	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd67c0	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffbd6848	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd6894	1	0	0x00000001	0x00000000		PRIVATE	READWRITE
28	u32	0x00000289ffbd68d0	0	4	0x00000000	0x00000004		PRIVATE	READWRITE
28	u32	0x00000289ffbd6918	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd6948	0	3	0x00000000	0x00000003		PRIVATE	READWRITE
28	u32	0x00000289ffbd6960	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffbd69e8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd6a18	0	3	0x00000000	0x00000003		PRIVATE	READWRITE
28	u32	0x00000289ffbd6a30	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffbd6ab8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd6ae8	0	3	0x00000000	0x00000003		PRIVATE	READWRITE
28	u32	0x00000289ffbd6b00	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffbd6b88	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd6bd0	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffbd6bf8	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289ffbd6c10	0	4	0x00000000	0x00000004		PRIVATE	READWRITE
28	u32	0x00000289ffbd6c58	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd6c88	0	3	0x00000000	0x00000003		PRIVATE	READWRITE
28	u32	0x00000289ffbd6ca0	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffbd6ce0	0	10	0x00000000	0x0000000a		PRIVATE	READWRITE
28	u32	0x00000289ffbd6ce8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd6d20	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289ffbd6d28	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd6dc0	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd6de0	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffbd6e20	0	10	0x00000000	0x0000000a		PRIVATE	READWRITE
28	u32	0x00000289ffbd6e28	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd6e70	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd6e78	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd6e80	0	10	0x00000000	0x0000000a		PRIVATE	READWRITE
