base	size	type	protect	module	diff_pages	diff_bytes	diff_ratio	first_diff	entropy	file_off	file_on
0x00000289ff900000	0x10000	PRIVATE	READWRITE		1	1	0.00001526	0x00000289ff90b000	1.922	region_6852_0x00000289ff900000_0x10000_PRIVATE_READWRITE.bin	region_6862_0x00000289ff900000_0x10000_PRIVATE_READWRITE.bin
0x00000289bb570000	0x20000	PRIVATE	READWRITE		1	2	0.00001526	0x00000289bb584000	3.305	region_3629_0x00000289bb570000_0x20000_PRIVATE_READWRITE.bin	region_3625_0x00000289bb570000_0x20000_PRIVATE_READWRITE.bin
0x00000289ff5a0000	0x20000	PRIVATE	READWRITE		1	2	0.00001526	0x00000289ff5ad000	3.137	region_6824_0x00000289ff5a0000_0x20000_PRIVATE_READWRITE.bin	region_6834_0x00000289ff5a0000_0x20000_PRIVATE_READWRITE.bin
0x00000289ecd60000	0x30000	PRIVATE	READWRITE		1	3	0.00001526	0x00000289ecd7c000	1.954	region_6643_0x00000289ecd60000_0x30000_PRIVATE_READWRITE.bin	region_6651_0x00000289ecd60000_0x30000_PRIVATE_READWRITE.bin
0x00000289add80000	0x1f4000	PRIVATE	READWRITE		12	36	0.00001758	0x00000289add90000	2.427	region_1558_0x00000289add80000_0x1f4000_PRIVATE_READWRITE.bin	region_1552_0x00000289add80000_0x1f4000_PRIVATE_READWRITE.bin
0x00000289aeba0000	0xb1000	PRIVATE	READWRITE		3	14	0.00001931	0x00000289aebd6000	3.655	region_1585_0x00000289aeba0000_0xb1000_PRIVATE_READWRITE.bin	region_1579_0x00000289aeba0000_0xb1000_PRIVATE_READWRITE.bin
0x000000af43626000	0xc000	PRIVATE	READWRITE		1	1	0.00002035	0x000000af4362f000	0.183	region_0030_0x000000af43626000_0xc000_PRIVATE_READWRITE.bin	region_0018_0x000000af43626000_0xc000_PRIVATE_READWRITE.bin
0x00000289ae2fa000	0x71000	PRIVATE	READWRITE		2	10	0.00002161	0x00000289ae317000	0.508	region_1567_0x00000289ae2fa000_0x71000_PRIVATE_READWRITE.bin	region_1561_0x00000289ae2fa000_0x71000_PRIVATE_READWRITE.bin
0x000002898bfe8000	0xa2000	PRIVATE	READWRITE		4	15	0.00002261	0x000002898c00b000	4.767	region_0313_0x000002898bfe8000_0xa2000_PRIVATE_READWRITE.bin	region_0301_0x000002898bfe8000_0xa2000_PRIVATE_READWRITE.bin
0x000002898d9f0000	0x20000	PRIVATE	READWRITE		1	3	0.00002289	0x000002898da04000	2.001	region_0574_0x000002898d9f0000_0x20000_PRIVATE_READWRITE.bin	region_0562_0x000002898d9f0000_0x20000_PRIVATE_READWRITE.bin
0x00000289ff4e0000	0x20000	PRIVATE	READWRITE		3	3	0.00002289	0x00000289ff4fa000	0.767	region_6820_0x00000289ff4e0000_0x20000_PRIVATE_READWRITE.bin	region_6830_0x00000289ff4e0000_0x20000_PRIVATE_READWRITE.bin
0x00007ff416580000	0xf0000	PRIVATE	READWRITE		1	23	0.00002340	0x00007ff416583000	1.384	region_7071_0x00007ff416580000_0xf0000_PRIVATE_READWRITE.bin	region_7081_0x00007ff416580000_0xf0000_PRIVATE_READWRITE.bin
0x00007ff428a90000	0x210000	PRIVATE	READWRITE		4	53	0.00002451	0x00007ff428a90000	1.526	region_7257_0x00007ff428a90000_0x210000_PRIVATE_READWRITE.bin	region_7267_0x00007ff428a90000_0x210000_PRIVATE_READWRITE.bin
0x00000289cc770000	0x40000	PRIVATE	READWRITE		2	7	0.00002670	0x00000289cc79b000	6.145	region_3705_0x00000289cc770000_0x40000_PRIVATE_READWRITE.bin	region_3713_0x00000289cc770000_0x40000_PRIVATE_READWRITE.bin
0x0000028999550000	0x10000	PRIVATE	READWRITE		1	2	0.00003052	0x000002899955f000	3.994	region_0849_0x0000028999550000_0x10000_PRIVATE_READWRITE.bin	region_0843_0x0000028999550000_0x10000_PRIVATE_READWRITE.bin
0x000002899a9a0000	0x10000	PRIVATE	READWRITE		1	2	0.00003052	0x000002899a9ad000	3.680	region_1031_0x000002899a9a0000_0x10000_PRIVATE_READWRITE.bin	region_1025_0x000002899a9a0000_0x10000_PRIVATE_READWRITE.bin
