file	base	allocation_base	size	bytes_read	protect	type
region_0069_0x000000af4633e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4633e000	0x000000af46240000	0x2000	0x2000	READWRITE	PRIVATE
region_0070_0x000000af4643e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4643e000	0x000000af46340000	0x2000	0x2000	READWRITE	PRIVATE
region_0071_0x000000af4653e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4653e000	0x000000af46440000	0x2000	0x2000	READWRITE	PRIVATE
region_0072_0x000000af4663e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4663e000	0x000000af46540000	0x2000	0x2000	READWRITE	PRIVATE
region_0073_0x000000af4673e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4673e000	0x000000af46640000	0x2000	0x2000	READWRITE	PRIVATE
region_0074_0x000000af4683e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4683e000	0x000000af46740000	0x2000	0x2000	READWRITE	PRIVATE
region_0075_0x000000af4684a000_0x6000_PRIVATE_READWRITE.bin	0x000000af4684a000	0x000000af46840000	0x6000	0x6000	READWRITE	PRIVATE
region_0076_0x000000af4694e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4694e000	0x000000af46850000	0x2000	0x2000	READWRITE	PRIVATE
region_0077_0x000000af4695c000_0x4000_PRIVATE_READWRITE.bin	0x000000af4695c000	0x000000af46950000	0x4000	0x4000	READWRITE	PRIVATE
region_0078_0x000000af4696b000_0x5000_PRIVATE_READWRITE.bin	0x000000af4696b000	0x000000af46960000	0x5000	0x5000	READWRITE	PRIVATE
region_0079_0x000000af4697c000_0x4000_PRIVATE_READWRITE.bin	0x000000af4697c000	0x000000af46970000	0x4000	0x4000	READWRITE	PRIVATE
region_0080_0x000000af4698c000_0x4000_PRIVATE_READWRITE.bin	0x000000af4698c000	0x000000af46980000	0x4000	0x4000	READWRITE	PRIVATE
region_0081_0x000000af4699c000_0x4000_PRIVATE_READWRITE.bin	0x000000af4699c000	0x000000af46990000	0x4000	0x4000	READWRITE	PRIVATE
region_0082_0x000000af469ab000_0x5000_PRIVATE_READWRITE.bin	0x000000af469ab000	0x000000af469a0000	0x5000	0x5000	READWRITE	PRIVATE
region_0083_0x000000af469bb000_0x5000_PRIVATE_READWRITE.bin	0x000000af469bb000	0x000000af469b0000	0x5000	0x5000	READWRITE	PRIVATE
region_0084_0x000000af469cb000_0x5000_PRIVATE_READWRITE.bin	0x000000af469cb000	0x000000af469c0000	0x5000	0x5000	READWRITE	PRIVATE
region_0085_0x000000af469dc000_0x4000_PRIVATE_READWRITE.bin	0x000000af469dc000	0x000000af469d0000	0x4000	0x4000	READWRITE	PRIVATE
region_0086_0x000000af469eb000_0x5000_PRIVATE_READWRITE.bin	0x000000af469eb000	0x000000af469e0000	0x5000	0x5000	READWRITE	PRIVATE
region_0087_0x000000af469fc000_0x4000_PRIVATE_READWRITE.bin	0x000000af469fc000	0x000000af469f0000	0x4000	0x4000	READWRITE	PRIVATE
region_0088_0x000000af46a0c000_0x4000_PRIVATE_READWRITE.bin	0x000000af46a0c000	0x000000af46a00000	0x4000	0x4000	READWRITE	PRIVATE
region_0089_0x000000af46b00000_0x10000_PRIVATE_READWRITE.bin	0x000000af46b00000	0x000000af46a10000	0x10000	0x10000	READWRITE	PRIVATE
region_0090_0x000000af46c00000_0x10000_PRIVATE_READWRITE.bin	0x000000af46c00000	0x000000af46b10000	0x10000	0x10000	READWRITE	PRIVATE
region_0091_0x000000af46d00000_0x10000_PRIVATE_READWRITE.bin	0x000000af46d00000	0x000000af46c10000	0x10000	0x10000	READWRITE	PRIVATE
region_0092_0x000000af46e00000_0x10000_PRIVATE_READWRITE.bin	0x000000af46e00000	0x000000af46d10000	0x10000	0x10000	READWRITE	PRIVATE
